family_id	category	provider_or_scope	priority	current_registry_status	scope	agent_feed_stream	recommended_cadence	required_source_roles	url_verification	representative_official_urls	notes
card.aeon	credit_card_issuer	AEON Card	P0	covered	Japan	economy.aeon-waon	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.aeon.co.jp/	
card.aupay	credit_card_issuer	au PAY Card	P0	partial	Japan	economy.au-ponta	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.au.com/payment/card/	
card.d	credit_card_issuer	d Card	P0	covered	Japan	economy.docomo	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://d-card.jp/	
card.paypay	credit_card_issuer	PayPay Card	P0	covered	Japan	economy.paypay	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.paypay-card.co.jp/	
card.rakuten	credit_card_issuer	Rakuten Card	P0	covered	Japan	economy.rakuten	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.rakuten-card.co.jp/	
card.smbc	credit_card_issuer	SMBC/Vpass cards including NL	P0	covered	Japan	economy.vpoint-smbc	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.smbc-card.com/	
card.view	credit_card_issuer	View Card / Bic Camera Suica	P0	partial	Japan	transit.jre-suica-view	daily	card_catalog | annual_fees_and_benefits | base_point_rules | merchant_category_bonus_rules | wallet_or_e_money_exclusions | point_exchange_directory | campaign_directory | change_notices	existing_or_web_verified	https://www.jreast.co.jp/card/	
emoney.nanaco	e_money_transit	nanaco e-money	P0	covered	Japan	economy.seven-nanaco	daily	service_terms | charge_and_autocharge_rules | eligible_cards | earn_rules | merchant_or_rail_acceptance | campaign_directory | change_notices	existing_or_web_verified	https://www.nanaco-net.jp/	
emoney.waon	e_money_transit	WAON / WAON Touch	P0	partial	Japan	economy.aeon-waon	daily	service_terms | charge_and_autocharge_rules | eligible_cards | earn_rules | merchant_or_rail_acceptance | campaign_directory | change_notices	existing_or_web_verified	https://www.waon.net/ | https://www.aeon.co.jp/service/lp/aeonpay/	
transit.suica	e_money_transit	Suica / Mobile Suica	P0	partial	Japan	transit.jre-suica-view	daily	service_terms | charge_and_autocharge_rules | eligible_cards | earn_rules | merchant_or_rail_acceptance | campaign_directory | change_notices	existing_or_web_verified	https://www.jreast.co.jp/suica/ | https://www.jrepoint.jp/	
