family_id	category	provider_or_scope	current_registry_status	scope	agent_feed_stream	recommended_cadence
airline.aeroplan	airline_program	Air Canada Aeroplan	missing	Japan	miles.global-americas	daily
airline.amex-transfer-set	airline_program	13 airline programs reachable from Amex Japan	missing	Japan	miles.card-transfer-partners	daily
airline.avios	airline_program	British Airways Club / Avios ecosystem	missing	Japan	miles.global-avios	daily
airline.cathay	airline_program	Cathay / Asia Miles	missing	Japan	miles.global-asia	daily
airline.delta	airline_program	Delta SkyMiles	missing	Japan	miles.global-americas	daily
airline.emirates	airline_program	Emirates Skywards	missing	Japan	miles.global-middle-east	daily
airline.flyingblue	airline_program	Air France-KLM Flying Blue	missing	Japan	miles.global-europe	daily
airline.krisflyer	airline_program	Singapore Airlines KrisFlyer	missing	Japan	miles.global-asia	daily
airline.marriott-transfer-set	airline_program	Marriott Bonvoy airline transfer partners	partial	Japan	miles.hotel-transfer-partners	daily
airline.qatar	airline_program	Qatar Privilege Club	missing	Japan	miles.global-middle-east	daily
airline.virgin	airline_program	Virgin Atlantic Flying Club	missing	Japan	miles.global-europe	daily
network.amex-offers-jp	card_network	Amex Offers and network campaigns	partial	Japan	network.amex-offers	daily
network.mastercard-jp	card_network	Mastercard Japan offers and promotions	missing	Japan	network.card-offers	daily
network.visa-jp	card_network	Visa Japan contactless and consumer campaigns	missing	Japan	network.card-offers	daily
network.vja	card_network	VJA group campaigns	missing	Japan	network.card-offers	daily
portal.ana-mileage-mall	cashback_portal	ANA Mileage Mall	covered	Japan	portal.airline-shopping	6h
portal.card-malls	cashback_portal	Issuer shopping malls: J-POINT/EPOS/Saison/JACCS/MUFG/AEON	missing	Japan	portal.card-malls	6h
portal.chobirich	cashback_portal	Chobirich	missing	Japan	portal.jp-long-tail	6h
portal.ecnavi	cashback_portal	EC Navi	missing	Japan	portal.jp-long-tail	6h
portal.jal-mileage-park	cashback_portal	JAL Mileage Park	covered	Japan	portal.airline-shopping	6h
portal.pointincome	cashback_portal	Point Income	missing	Japan	portal.jp-long-tail	6h
portal.pointtown	cashback_portal	PointTown	missing	Japan	portal.jp-long-tail	6h
portal.powl	cashback_portal	Powl	missing	Japan	portal.jp-long-tail	6h
card.amazon	credit_card_issuer	Amazon Mastercard (Japan)	missing	Japan	issuer.other-major	daily
card.amex-jp	credit_card_issuer	American Express Japan Membership Rewards	missing	Japan	issuer.amex-jp	daily
card.ana	credit_card_issuer	ANA Cards	missing	Japan	issuer.airline-cards	daily
card.diners-jp	credit_card_issuer	Diners Club Japan	missing	Japan	issuer.diners-jp	daily
card.jal	credit_card_issuer	JAL Card	missing	Japan	issuer.airline-cards	daily
card.mi	credit_card_issuer	MI Card	missing	Japan	issuer.mi-card	daily
card.recruit	credit_card_issuer	Recruit Card	missing	Japan	issuer.other-major	daily
card.tscubic	credit_card_issuer	TS CUBIC / Toyota cards	missing	Japan	issuer.other-major	daily
